Week Bulk sisa dihasilkan;Sediaan;ZONA;Kode SL;Kode Bulk;NOMO;Kode Item;KODE ITEM SNFG;Nama Bulk;BESAR BATCH;Jumlah FG (Pc(s));"Jumlah Supply Packaging
(Pc(s))";"No. Batch
";No Batch Bulk Sisa;Item Komponen;Konfirmasi MPS;Konfirmasi Packaging
W20;P;POWDER A;C;B-BSLP-BULK;MO-B-BSLP-BULK/I0128;B-BSLP-EM;B-BSLP-EM/I0128;Emina Bright Stuff Loose Powder;6.48;216;236;EJ13B;EJ13BX;;;
W20;P;POWDER A;C;B-BSLP-BULK;MO-B-BSLP-BULK/I0131;B-BSLP-EM;B-BSLP-EM/I0131;Emina Bright Stuff Loose Powder;6.031;108;128;EJ17B;EJ17BX;;;
W21;P;POWDER A;C;B-BSLP-BULK;MO-B-BSLP-BULK/I0133;B-BSLP-EM;B-BSLP-EM/I0133;Emina Bright Stuff Loose Powder;7.028;108;128;EJ19B;EJ19BX;;;
W21;P;POWDER A;C;B-BSLP-BULK;MO-B-BSLP-BULK/I0135;B-BSLP-EM;B-BSLP-EM/I0135;Emina Bright Stuff Loose Powder;4.29;72;92;EJ22A;EJ22AX;;;
W20;P;POWDER A;C;B-BSLP-BULK;MO-B-BSLP-BULK/I0137;MY-BBSLP-EM;MY-BBSLP-EM/I0012;Emina Bright Stuff Loose Powder;8.261;144;164;EJ17A;EJ17AX;;;
W21;P;POWDER A;C;B-BSLP-BULK;MO-B-BSLP-BULK/I0138;B-BSLP-EM;B-BSLP-EM/I0137;Emina Bright Stuff Loose Powder;9.071;144;164;EJ24B;EJ24BX;;;
W22;P;POWDER A;C;B-BSLP-BULK;MO-B-BSLP-BULK/I0144;B-BSLP-EM;B-BSLP-EM/I0143;Emina Bright Stuff Loose Powder;4.977;72;92;EJ30A;EJ30AX;;;
W23;P;POWDER A;C;B-BSLP-BULK;MO-B-BSLP-BULK/I0146;B-BSLP-EM;B-BSLP-EM/I0145;Emina Bright Stuff Loose Powder;5.984;72;92;FJ02A;FJ02AX;;;
W23;P;POWDER A;C;B-BSLP-BULK;MO-B-BSLP-BULK/I0147;B-BSLP-EM;B-BSLP-EM/I0146;Emina Bright Stuff Loose Powder;7.029;108;128;FJ03A;FJ03AX;;;
W22;P;POWDER A;C;B-BSLP-BULK;MO-B-BSLP-BULK/I0149;MY-BBSLP-EM;MY-BBSLP-EM/I0014;Emina Bright Stuff Loose Powder;4.406;72;92;EJ31A;EJ31AX;;;
W15;P;POWDER A;C;B-CLCLPA-BULK;MO-B-CLCLPA-BULK/I0023;B-CLCLPA-W;B-CLCLPA-W/I0023;Colorfit Mattifying Powder 22N Light Ivory;2.019;384;404;DJ08A;DJ08AX;;;
W20;P;POWDER A;C;B-DMLP01-BULK;MO-B-DMLP01-BULK/I0019;B-DMLP01-EM;B-DMLP01-EM/I0017;Emina Daily Matte Loose Powder 01 Light Beige;4.027;192;212;EJ19A;EJ19AX;;;
W23;P;POWDER A;C;B-DMLP01-BULK;MO-B-DMLP01-BULK/I0022;B-DMLP01-EM;B-DMLP01-EM/I0020;Emina Daily Matte Loose Powder 01 Light Beige;4.133;192;212;FJ03A;FJ03AX;;;
W15;P;POWDER A;C;B-PT06-BULK;MO-B-PT06-BULK/I0026;B-PT06-MO35G;B-PT06-MO35G/I0026;Silky Smooth Translucent Powder 06 Buttermilk;2.698;136;156;DJ11A;DJ11AX;;;
W21;P;POWDER A;C;B-PT06-BULK;MO-B-PT06-BULK/I0031;B-PT06-MO35G;B-PT06-MO35G/I0031;Silky Smooth Translucent Powder 06 Buttermilk;6.784;170;190;EJ26A;EJ26AX;;;
W22;P;POWDER A;C;B-PT07-BULK;MO-B-PT07-BULK/I0027;B-PT07-MO35G;B-PT07-MO35G/I0027;Silky Smooth Translucent Powder 07 Vanilla;4.16;102;122;EJ30A;EJ30AX;;;
W20;P;POWDER A;C;B-R3L01LB-BULK;MO-B-R3L01LB-BULK/I0037;B-R3L01LB-W;B-R3L01LB-W/I0037;Wardah Lightening Matte Powder 01 Light Beige;5.214;252;272;EJ20A;EJ20AX;;;
W21;P;POWDER A;C;B-R3L02B-BULK;MO-B-R3L02B-BULK/I0034;B-R3L02B-W;B-R3L02B-W/I0034;Wardah Lightening Matte Powder 02 Beige;5.347;252;272;EJ20A;EJ20AX;;;
W21;P;POWDER A;C;B-R3L02B-BULK;MO-B-R3L02B-BULK/I0035;B-R3L02B-W;B-R3L02B-W/I0035;Wardah Lightening Matte Powder 02 Beige;4.463;196;216;EJ24A;EJ24AX;;;
W22;P;POWDER A;C;B-R3L02B-BULK;MO-B-R3L02B-BULK/I0037;B-R3L02B-W;B-R3L02B-W/I0037;Wardah Lightening Matte Powder 02 Beige;6.669;308;328;FJ01A;FJ01AX;;;
W23;P;POWDER A;C;B-R3L03I-BULK;MO-B-R3L03I-BULK/I0023;B-R3L03I-W;B-R3L03I-W/I0023;Wardah Lightening Matte Powder 03 Ivory;5.744;280;300;FJ08A;FJ08AX;;;
W21;P;POWDER A;C;B-R4L01LB-BULK;MO-B-R4L01LB-BULK/I0001;B-R4L01LB-W;B-R4L01LB-W/I0001;Wardah Lightening Matte Powder 01 Neutral Fair (12N);7.848;0;20;EJ24A;EJ24AX;;;
W31;P;POWDER B;B;B-SPC-BULK;MO-B-SPC-BULK/H0007;B-SPC-MO13GR;B-SPC-MO13GR/H0007;Shimmering Powder Chrystalist;0.352;0;20;HI01A;HI01AX;;;
W22;P;POWDER A;C;B-W1T3LFP01-BULK;MO-B-W1T3LFP01-BULK/I0040;B-W3ELFP01-W30G;B-W3ELFP01-W30G/I0040;Luminous Face Powder 01;4.948;144;164;EJ31A;EJ31AX;;;
W23;L;LIQUID C;C;CUS-DM06-BULK;MO-CUS-DM06-BULK/I0002;CUS-DM06-EM;CUS-DM06-EM/I0002;EMINA Daily Matte Cushion W04 Mocca;17;1104;1160;FJ06A;FJ06AX;;;
W18;L;LIQUID C;C;CUS-R2EFC03-BULK;MO-CUS-R2EFC03-BULK/I0006;CUS-R2EFC03-W;CUS-R2EFC03-W/I0004;Wardah Exclusive Flawless Cover Cushion Revamp 03;36.54;2400;2520;EJ02A;EJ02AX;;;
W21;P;POWDER B;B;ES-CLPNB-01-BULK;MO-ES-CLPNB-01-BULK/I0010;ES-CLPNB-W;ES-CLPNB-W/I0010;Wardah Colorfit Quad Eye Palette 01 Brunette Dawn 01;3.93;4320;4340;EJ20A;EJ20AX;;;
W22;P;POWDER B;B;ES-CLPNB-01-BULK;MO-ES-CLPNB-01-BULK/I0012;ES-CLPNB-W;ES-CLPNB-W/I0012;Wardah Colorfit Quad Eye Palette 01 Brunette Dawn 01;2.322;1260;1280;EJ27A;EJ27AX;;;
W21;P;POWDER B;B;ES-CLPPB-03-BULK;MO-ES-CLPPB-03-BULK/I0009;ES-CLPPB-W;ES-CLPPB-W/I0009;Wardah Colorfit Quad Eye Palette 02 Rosé Aurora 03;0.877;1440;1460;EJ24A;EJ24AX;;;
W07;S;JAR LINE - SEMISOLID;B;FA-CLFMDHCPCO-BULK;MO-FA-CLFMDHCPCO-BULK/I0006;FA-CLFMDHCP-W;FA-CLFMDHCP-W/I0008;Wardah Colorfit Highlight Contour Palette 02 Medium - Contour;1.443;1380;1400;BJ10A;BJ10AX;1;1;1
W22;V;VARCOS A;C;F-L01-BULK;MO-F-L01-BULK/I0010;F-L01-OMG;F-L01-OMG/I0010;OMG Oh My Glam Coverlast Liquid Foundation 13 C Ivory;23.8;868868;912312;EJ29A;EJ29AX;;;
W23;V;VARCOS A;C;F-L03-BULK;MO-F-L03-BULK/I0006;F-L03-OMG;F-L03-OMG/I0006;OMG Oh My Glam Coverlast Liquid Foundation 31 W Beige;4.234;132;139;EJ30A;EJ30AX;;;
W15;L;LIQUID B;B;FT-CHG-BULK;MO-FT-CHG-BULK/I0007;FT-CHG-W;FT-CHG-W/I0006;Crystallure Dual Refining Treatment Solution;45.2;369;388;DJ13A;DJ13AX;;;
W13;L;LIQUID A;A;FW-3IN1PC-BULK;MO-FW-3IN1PC-BULK/I0095;FW-3IN1PC-KA;FW-3IN1PC-KA/I0096;Kahf Triple Action Oil and Comedo Defense Face Wash;22.45;885;930;CJ27C;CJ27CX;;;
W23;L;LIQUID A;A;FW-BS-BULK;MO-FW-BS-BULK/I0137;MY-FWBSN2-EM;MY-FWBSN2-EM/I0004;Bright Stuff Face Wash BULK;17.8;340;357;FJ06B;FJ06BX;;;
W21;L;LIQUID C;C;HBW-GBFBC-BULK;MO-HBW-GBFBC-BULK/I0003;HBW-NFSGBFBCN2-L;HBW-NFSGBFBCN2-L/I0001;LABORÉ Sensitive Skin Care GentleBiome Hydrating Face & Body Cleanser;11;0;0;EJ19A;EJ19AX;;;
W19;L;LIQUID B;B;HS-NSNP-BULK;MO-HS-NSNP-BULK/I0003;HS-NSNP-W;HS-NSNP-W/I0003;Wardah Multipurpose Sanitizer;45;0;0;EJ09A;EJ09AX;;;
W20;L;LIQUID B;B;HS-NSNP-BULK;MO-HS-NSNP-BULK/I0004;HS-NSNP-W;HS-NSNP-W/I0004;Wardah Multipurpose Sanitizer;56;0;0;EJ15A;EJ15AX;;;
W04;S;BOTTLE HOTPOUR - SEMISOLID;B;L-CLADC02-BULK;MO-L-CLADC02-BULK/I0003;L-CLADC02-W;L-CLADC02-W/I0003;Wardah Colorfit Last All Day Lip Paint 13. Dubai Lux;9.047;2016;2036;AJ24A;AJ24AX;1;1;0
W05;S;BOTTLE HOTPOUR - SEMISOLID;B;L-CLADC05-BULK;MO-L-CLADC05-BULK/I0001;L-CLADC05-W;L-CLADC05-W/I0001;Wardah Colorfit Last All Day Lip Paint 16. Kuala Lumpur Joy;2.034;432;452;AJ17A;AJ17AX;1;1;0
W06;S;BOTTLE HOTPOUR - SEMISOLID;A;L-CLADC05-BULK;MO-L-CLADC05-BULK/I0003;L-CLADC05-W;L-CLADC05-W/I0003;Wardah Colorfit Last All Day Lip Paint 16. Kuala Lumpur Joy;5.611;1296;1316;BJ02A;BJ02AX;1;1;0
W23;S;BOTTLE 12 NOZZLE - SEMISOLID;B;L-CVM010-BULK;MO-L-CVM010-BULK/I0011;L-CVM010-W;L-CVM010-W/I0011;Wardah Colorfit Velvet Matte Lip Mousse 10 Lively Coral;3.1;576;596;FJ03A;FJ03AX;;;
W23;S;BOTTLE 12 NOZZLE - SEMISOLID;B;L-CVM011-BULK;MO-L-CVM011-BULK/I0012;L-CVM011-W;L-CVM011-W/I0012;Wardah Colorfit Velvet Matte Lip Mousse 11 Cherish Marmalade;4.601;960;980;FJ06A;FJ06AX;;;
W23;S;BOTTLE 12 NOZZLE - SEMISOLID;B;L-CVM013-BULK;MO-L-CVM013-BULK/I0016;L-CVM013-W;L-CVM013-W/I0016;Wardah Colorfit Velvet Matte Lip Mousse 13 Sweet Cinnamon;3.836;768;788;FJ06A;FJ06AX;;;
W47;S;JAR LINE - SEMISOLID;A;L-LBH-BULK;MO-L-LBH-BULK/H0001;L-LBH-KA;L-LBH-KA/H0001;KAHF Multipurpose Moisturizing Balm;7.825;0;20;KI18A;KI18AX;;;
W12;S;JAR LINE - SEMISOLID;C;L-LBH-BULK;MO-L-LBH-BULK/I0004;L-LBH-KA;L-LBH-KA/I0004;KAHF Multipurpose Moisturizing Balm;2.131;0;20;CJ17A;CJ17AX;;;
W22;V;VARCOS A;A;L-MLCL-BULK;MO-L-MLCL-BULK/I0047;L-MLCL-OMG;L-MLCL-OMG/I0046;OMG OH MY GLAM Matte Kiss Lip Cream 12 Scarlet;10.404;2880;3024;EJ27A;EJ27AX;;;
W23;V;VARCOS A;A;L-MLCL-BULK;MO-L-MLCL-BULK/I0048;L-MLCL-OMG;L-MLCL-OMG/I0047;OMG OH MY GLAM Matte Kiss Lip Cream 12 Scarlet;7.284;2016;2117;FJ05A;FJ05AX;;;
W23;V;VARCOS A;A;L-MLCM-BULK;MO-L-MLCM-BULK/I0047;L-MLCM-OMG;L-MLCM-OMG/I0046;OMG Oh My Glam Matte Kiss Lip Cream 13 Latte;7.641;2161296;2269361;EJ29A;EJ29AX;;;
W23;V;VARCOS A;A;L-MLCM-BULK;MO-L-MLCM-BULK/I0048;L-MLCM-OMG;L-MLCM-OMG/I0047;OMG Oh My Glam Matte Kiss Lip Cream 13 Latte;9.373;2651184;2783744;FJ03A;FJ03AX;;;
W22;V;VARCOS A;A;L-MLCO-BULK;MO-L-MLCO-BULK/I0036;L-MLCO-OMG;L-MLCO-OMG/I0035;OMG Oh My Glam Matte Kiss Lip Cream 15 Espresso;8.216;2323872;2440066;EJ26A;EJ26AX;;;
W23;V;VARCOS A;A;L-MLCO-BULK;MO-L-MLCO-BULK/I0037;L-MLCO-OMG;L-MLCO-OMG/I0036;OMG Oh My Glam Matte Kiss Lip Cream 15 Espresso;6.805;1924704;2020940;FJ01A;FJ01AX;;;
W21;L;LIQUID C;C;MA-MSL-BULK;MO-MA-MSL-BULK/I0013;MA-MSLP-W;MA-MSLP-W/I0003;Wardah Lightening SuperSerum Mask;21;0;0;EJ22A;EJ22AX;;;
W21;V;VARCOS B;C;MASK-OMG-BULK;MO-MASK-OMG-BULK/I0005;MASK-OMG-OMG;MASK-OMG-OMG/I0005;OMG Oh My Glam Lashtention Waterproof Mascara;6.941;0;0;EJ22A;EJ22AX;;;
W22;V;VARCOS B;C;MASK-OMG-BULK;MO-MASK-OMG-BULK/I0006;MASK-OMG-OMG;MASK-OMG-OMG/I0006;OMG Oh My Glam Lashtention Waterproof Mascara;15.426;0;0;EJ27A;EJ27AX;;;
W15;L;LIQUID A;A;M-RHDG-BULK;MO-M-RHDG-BULK/I0013;M-RHDGN3-W;M-RHDGN3-W/I0001;Wardah Hydra Rose Dewy Aqua Day Gel;50;0;0;DJ01A;DJ01AX;;;
W22;L;LIQUID A;A;M-RHDG-BULK;MO-M-RHDG-BULK/I0019;M-RHDGN3-W;M-RHDGN3-W/I0003;Wardah Hydra Rose Dewy Aqua Day Gel;79.5;0;0;EJ26A;EJ26AX;;;
W22;L;LIQUID B;B;REM-CO-BULK;MO-REM-CO-BULK/I0002;REM-CO-MO;REM-CO-MO/I0002;MAKE OVER Powerskin Ultra Deep Cleansing Oil;32.25;644;677;EJ31A;EJ31AX;;;
W15;L;LIQUID A;A;SS-SB50-BULK;MO-SS-SB50-BULK/I0002;SS-SB50-EM;SS-SB50-EM/I0002;EMINA Sun Battle SPF 50 PA++++ Barrier Hydraburst Sunscreen;19;0;0;DJ11A;DJ11AX;;;
W23;S;JAR LINE - SEMISOLID;C;SS-UVSLMS-BULK;MO-SS-UVSLMS-BULK/I0018;SS-UVSLMS-W;SS-UVSLMS-W/I0005;Wardah UV Shield Light Matte Sun Stick SPF 50;6.65;288;308;FJ03A;FJ03AX;;;
W29;P;POWDER A;A;TC-IPMFPF11-BULK;MO-TC-IPMFPF11-BULK/H0017;TC-IPMFPF11-W13G;TC-IPMFPF11-W13G/H0008;Instaperfect MATTE FIT Powder Foundation 11 Fair;5.461;384;404;GI21B;GI21BX;;;
W29;P;POWDER A;A;TC-IPMFPF12-BULK;MO-TC-IPMFPF12-BULK/H0020;TC-IPMFPF12-W13G;TC-IPMFPF12-W13G/H0014;Instaperfect MATTE FIT Powder Foundation 12 Ivory;7.604;576;596;GI21A;GI21AX;;;
W45;P;POWDER A;A;TC-IPMFPF13-BULK;MO-TC-IPMFPF13-BULK/H0014;TC-IPMFPF13-W13G;TC-IPMFPF13-W13G/H0008;Instaperfect MATTE FIT Powder Foundation 13 Beige;19.347;1440;1460;GI23A;GI23AX;;;
W50;P;POWDER A;A;TC-PC01-BULK;MO-TC-PC01-BULK/H0059;TC-PC01-MO12G;TC-PC01-MO12G/H0024;PERFECT COVER TWC 01 LACE;2.243;408;428;LI10A;LI10AX;;;
W23;P;POWDER A;A;TC-PC03-BULK;MO-TC-PC03-BULK/I0083;TC-R2E03-W;TC-R2E03-W/I0015;PERFECT COVER TWC 03 MAPLE;6.851;540;560;FJ07A;FJ07AX;;;
W16;P;POWDER A;A;TC-PMN10-BULK;MO-TC-PMN10-BULK/I0017;TC-PMN10-MO12G;TC-PMN10-MO12G/I0017;Make Over Powerstay Matte Powder Foundation N10 Marble;7.68;624;644;DJ16A;DJ16AX;;;
W17;P;POWDER A;A;TC-PMW30-BULK;MO-TC-PMW30-BULK/I0013;TC-PMW30-MO;TC-PMW30-MO/I0013;Powerstay Matte Powder Foundation W30 Creme Beige;4.013;312;332;DJ27A;DJ27AX;;;
W18;P;POWDER A;A;TC-PMW41-BULK;MO-TC-PMW41-BULK/I0019;TC-PMW41-MO12G;TC-PMW41-MO12G/I0019;Make Over Powerstay Matte Powder Foundation W41 Coral Sand;5.346;432;452;EJ05A;EJ05AX;;;
W21;P;POWDER A;A;TC-R3LLF03-BULK;MO-TC-R3LLF03-BULK/I0057;TC-RR3LLF03-W;TC-RR3LLF03-W/I0024;Wardah Lightening Powder Foundation Light Feel 03 Sheer Pink;5.161;288;308;EJ20A;EJ20AX;;;
W22;P;POWDER A;A;TC-R3LLF03-BULK;MO-TC-R3LLF03-BULK/I0060;TC-RR3LLF03-W;TC-RR3LLF03-W/I0025;Wardah Lightening Powder Foundation Light Feel 03 Sheer Pink;10.055;720;740;EJ30A;EJ30AX;;;
W23;P;POWDER A;A;TC-R3LLF03-BULK;MO-TC-R3LLF03-BULK/I0062;TC-R3LLF03-W;TC-R3LLF03-W/I0025;Wardah Lightening Powder Foundation Light Feel 03 Sheer Pink;4.03;324;344;FJ06A;FJ06AX;;;
W22;P;POWDER A;A;TC-W1C1-BULK;MO-TC-W1C1-BULK/I0029;TC-W3ELLB1-W12G;TC-W3ELLB1-W12G/I0013;Luminous Two Way Cake 01;5.362;432;452;EJ29A;EJ29AX;;;
W23;P;POWDER A;A;TC-W1C1-BULK;MO-TC-W1C1-BULK/I0031;TC-W3RELLB1-W12G;TC-W3RELLB1-W12G/I0018;Luminous Two Way Cake 01;5.581;432;452;FJ06A;FJ06AX;;;
