Kode Item,qty_done
EMG-450-X,25
CELL-HHRP-X,25
"BUTY--DAI1,3",800
EMU-C316-X,5
MOIS-RQPO260-X,25
SILI-BE6-X,180
SERI-202LL-X,20
EMO-BSLDMZ-X,200
SILI-AXU3-X,300
LBRJ-IIXD-X,469.2
EMUL-AL2-,25
SFT-CERA847-X,22.68
MOIS-TR100-X,140
SILI-BE6-X,180
SILI-BE6-X,180
HUM-HXLGLC-X,185
POWD-GH52-X,20
POWD-TGDS-X,400
BENE-K200-X,36.28
POWD-GHDS-X,140
XANT---K,40
SOLV-PRIHD-X,160
SILI-BEGAEIB-X,90
PWD-SYS-X,25
SFT-CERA847-X,22.68
H2O2-PO-,70
CRO1-CRMLAB-X,180
EMU-GLY767LS-X,200
CRO1-GTCC-,380
ACTI-CBSS-AM,25
SOLP-100LQ-X,75
STEA-A-EST05M,1800
POL-U151-X,25
MENT-FRGHS-X,60
A-EDSM80-X,75
GLYC-MS-CGGMS N/EB25,600
MOIS-RHH15P-X,50
HUM-13BG-X,600
EMU-PH-X,60
FUCO-15PSLB-X,50
SERI-TAS-KSP-X,120
SERI-TAS-KSP-X,880
EMO-WHMLCG-X,170
EMUL-GMSNSE-X,600
AMI-GCK12K-,800
SQUA-PRT-X,25
MYRI-MYTM-X,650
MYRI-MYTM-X,2350
WAX-WOW2P-X,25
TITA--3328EW-K,150
EMU-VME5-X,125
EMU-LPNT-X,25
EMU-INDOH100-,25
SQUA-AMYR-X,136
AHA-FRBBCR-X,40
PENG-GL-LON,220
EXF-GLDL-X,75
PLAS-P-D400-K,20
SCRU-SRBB50-X,10
TALC-OSBRTPD-X,1800
CABO-M5-X,100
SURF-213K-X,200
EMUL-DERMSOLP-,200
TEXA---K,160
TEXA---K,2240
PARF-PSVLF-X,25
PARF-SILK-,25
MYRI-SOCI-X,1950
MYRI-SOCI-X,975
TEGO-L7-1--K,2640
TEGO-L7-1--K,2640
WARN-K7057J-X,1
CETY---K,160
CETY---K,440
SURF-EC702C-X,1280
SURF-CCAB-X,800
GLYC--ECOS-K,6000
KOH--PH-K,3000
SUNS-UVAPG-X,175
EMUL-PLUP-X,2400
STEA-A-EST05M,1200
GARA-RFS-X,500
SUNS-HYAB-X,40
EMUL-MTVT-X,100
MATS-MCM100-X,250
EMUL-MTVT-X,25
SUNS-HYAB-X,120
SEPI-305-SF-K,300
THIC-SPVE10-X,50
SUNP-170-X,50
EMU-MTV6-X,50
SUN-MP-X,20
EMUL-NS-X,30
ACTI-ADPL-X,10
PENG-ISCGPHG-X,200
SILI-D5225F-X,800
KOH--PH-K,1200
MYRI-MYTM-X,4200
GLUZ-GLUZ-,180
MOIS-PTVT-X,300
SYNC-SCL-X,1
WARN-TOA403-KF,100
EMUL-AMPK-,25
THIC-NOVEEC1L-,113.4
SERI-790-,50
SERI-790-,100
SERI-790-,175
CARB-UT20-X,80
CARB-UT21P-X,40
"CARB--94022,68-K",22
"CARB--94022,68-K",22
WARN-ABIO-X,25
WARN-TE-A40BIOSC-K,25
WARN-C19011-R7CL-K,25
WARN-C196619-R6-K,25
WARN-C19012-DCR6-K,50
AQUA---K,3483.2
SUNS-SCMTA-X,360
EMU-ACT-X,8
TITA-CROTS-X,275
ZINC-10PL-X,60
EMUL-WLALA99-X,1200
EMUL-WFASA-X,600
EM-E3201M-X,500
EMAL---K,60
SAMP-MYKBLR-X,10
KOH--PH-K,2000
KOH--PH-K,1000
ACTI-RYKA-X,5
ACTI-RYKA-X,25
SILI-SP105-X,105
CMC--2000F-K,20
ACTI-SRCM-X,5
ACTI-SRCM-X,5
ACTI-SRCM-X,5
PENG-PHC-X,200
HUM-DGCRS-X,20
TIT-CR50HD-X,500
POWD-TDMS-,200
SCRU-OATP1-X,10
POWD-MDMS-,500
SERI-CSF-X,20
POWD-TDMS-,300
GLYC--ECOS-K,6000
SILI-1202-,764
EMO-SLCHS-X,45
COSM-222--K,248
TITA-C-STCR5-K,260
COSM-43V--K,48
SILI-4515-,360
SILI-SF16-,40
ACTM-Q10-X,3
ACTM-CTLA-X,46
FLMR-DSTY-X,25
RHEO-PRKL2-X,10
SILI-SSBAPD-X,130
TITA-INBP-X,5
CHA-CRPD-X,5
POWD-H53-X,10
THIC-MK25-X,20
ACTI-AICE06-X,6
FIBR-NFCB-X,5
FIBR-NFCB-X,5
ACTI-DFSLSF-X,5
ACTI-DFSLSF-X,1
SILI-SFE-GE,231.54
SILI-VLVDLG-X,31.78
SOLV-BGKHN-X,800
SILI-VLVDLG-X,31.78
MYRI-SOCI-X,7800
PROP-PGESK-X,1720
SURF-CCAB-X,800
GLYC--ECOS-K,7000
SURF-EC702C-X,1120
ACTI-TZP48-X,40
EDT-B--K,75
EDT-DSLV-X,25
TEGO-L7-1--K,2640
TEGO-L7-1--K,2640
PEAR-GNPPMS-X,125
PENG-CLRP-X,50
PENG-NPGEHP-X,275
HUM-PG400C-X,220
THIC-ARAVC-,50
WAX-SBWX--X,50
WAX-KWK82D-X,25
SUN-SSFMBC-X,525
TEXA---K,3200
BENT-BGISDV-X,320
BENT-BGISDV-X,160
BENT-BGISDV-X,320
BENT-BGVS5PC-X,50
BENT-BGVS5PC-X,150
BENT-BGVS5PC-X,625
SILI-BEL803-X,420
VITA-B3UPPC-X,400
WARN-CSW-9000S-K,75
OIL-LXFS-X,40
WARN-6000G-,25
CHEM-1789-X,50
CHEM-1789-X,50
EMU-LEXS-X,1
ZINC-ZNOLYS-X,20
"BUTY--DAI1,3",400
"BUTY--DAI1,3",400
ZINC-M-KJZ10-K,20
ZINC-ZNOLYS-X,20
WARN-YLW3AS-X,120
WARN-YLW3AS-X,280
EMUL-BS721-X,40
GLYC-MS-CGGMS N/EB25,600
ARLA-165--K,450
SURF-CPKOD-X,800
SILI-CES1104-X,64
TALC-OSBRTPD-X,400
TALC-OSBRTPD-X,800
TALC-OSBRTPD-X,1200
OIL-ORJVA-X,65
OIL-ORJVA-X,50
SAMP-THICLM-X,0.05
SAMP-GATURDC-X,0.01
MENT--CEPB-K,25
PARF-L162--K,8
PARF-L162--K,2
ATG-71-X,75
ATG-71-X,75
CLAI-II-IC-K,60
CHAM-COSM-,5
SUNS-PTX-X,50
PARS-5000-DSM,300
SUNS-PRSHD-X,20
STAY--DSMR-K,20
SILI-KSP1-X,10
PEN-EUXK900-X,10
VITA-B3PC-X,500
PARS-1789-,400
EXTR-CNDWLHB-X,20
PR-TLMPDONV-X,600
PEN-PRSVPE-X,800
SILI-KFFA-X,36
SILI-KP56P-X,16
EMUL-KSG210-X,16
EMUL-KF6017-X,51
PROP-PGESK-X,860
MYRI-SOCI-X,3900
SUNS-PRSHMS-X,200
SUNS-PR340-X,25
SUNS-PR340-X,375
SILI-SSEM105-X,360
AJID--NL-K,800
ACTI-AZCLR-X,10
ALUM--ACH-K,272
EMUL-GMSNSE-X,1200
EMO-WHMLCG-X,340
AMI-GCK12K-,800
EMUL-EDNC129M-X,1600
EMU-CSAL-X,25
PANT--DL-K,325
PANT--DL-K,100
PANT--DL-K,25
SUNS-TNAB-X,50
SUNS-TNSM-X,25
EMU-CULT-X,60
EMUL-EMLP-X,30
SUNS-TNSLTQ-X,50
EMUL-PLUP-X,1600
UVIN-MC80-BASF,1600
CETI-OLHE-X,800
EMU-CTB-X,175
EMU-CSF-X,175
SUNS-UVAPG-X,175
SUNS-TNBS-X,40
SUNS-TNBS-X,80
CUTI---K,450
OIL-CO-F,16
EKS-FMO-X,10
SILI-BELEG5-X,210
SILI-BELEG5-X,195
SILI-BELEG5-X,825
EKS-FMO-X,5
SILC-AERSLR-X,100
SILC-SP500LS-X,45.35
STEA-A-EST05M,2000
STEA-A-EST05M,400
SFT-S649-X,100
THIC-RMGSO4-X,25
THIC-RMGSO4-X,25
ACTI-RBN-X,40
GLYA-ACAHA-DP,200
PARF-OSLF-SP119881-X,25
PARF-OSLF-SP119881-X,25
PARF-OSLF-SP119881-X,50
EMUL-BRB423-X,20
HAIM-DIS-X,15
ACTI-APLR-X,5
STEA-DSP300-X,20
STEA-DSP300-X,20
SCRU-OATP1-X,10
POWD-TDMS-,500
TIT-CR50HD-X,1000
EXTR-PCTGJ-X,1
MOIS-LPBGCR-X,1
MOIS-LPBGCR-X,4
MOIS-LPBGCR-X,3
MOIS-LPBGCR-X,3
EM-E3201M-X,500
HUM-PGUEP-X,1075
PEPE-850021-X,20
ASAM-SCAD-X,200
ALAN-SL--X,125
LAN-99-X,180
SILI-FZ3196-X,168
SILI-DC9045-X,180
SILI-2005-DC-K,600
SILI-556-DC-K,400
SILI-345-DC-K,195
MC3-300-SF,170
KOH--PH-K,600
SILI-DC-PSFCS-X,170
PR-ZPRDL-X,598.74
GLYC--ECOS-K,7000
EMUL-AL21-,450
TOSP-2000B-X,20
SALA-99--K,60
SERI-OT2SFSE-,140
SILS-034-X,168
COSM-168ARV-X,16
SILD--SI5H52D-K,120
SILD--SI5H52D-K,20
SILD--SI5H52D-K,100
TALK-C-STJADAITO-K,340
TALK-C-STJADAITO-K,260
ACTI-AICE06-X,20
SILI-D2-TSFST-K,200
SERI-C-SI013S200-K,495
SERI-C-SI013S200-K,15
NT---K,180
ASO--KB-K,225
PARF-SMUME17-X,25
PARF-RSCFE-X,50
PARF-WFBLSE-X,25
PARF-LMS-,1
PARF-R1525-X,1
PARF-STR160-X,50
PARF-PRVIAE-X,25
PARF-MSJ841-X,1
PARF-LSR71-,2
PARF-ITPM91-X,50
PROP-PGESK-X,860
PROP-PGESK-X,860
EMUL-SNRFA-X,700
EMUL-SNRFA-X,900
STEA-SFA95-X,500
MYRI-SOCI-X,975
MYRI-SOCI-X,3900
MOIS-RHH15P-X,50
SILI-SRSPD72-X,36
GLYC-MS-CGGMS N/EB25,600
EKS-FMO-X,5
POWD-GHHDI-X,300
POWD-GH52-X,20
SUCR-AC01-X,20
HUM-HXLGLC-X,185
HUM-HXLGLC-X,370
BENT-BGISDV-X,320
PURO-IDD-X,600
BENT-BGVS5PC-X,600
SILI-BEL803-X,28
POWD-GHHDI-X,150
CLAY-KAOSRG-X,800
"BUTY--DAI1,3",800
MOIS-RQPO260-X,50
PWD-SYS-X,50
BENE-K200-X,18.14
POWD-HTTS-X,20
EMO-SUNFR-X,1
H2O2-PO-,70
SERI-TAS-KSP-X,200
SERI-TAS-KSP-X,140
SERI-TAS-KSP-X,660
TIT-MT60S-X,20
GOHS-GS40C-X,20
MENT-FRGHS-X,35
EXTR-PONG-X,2
STEA-A-EST05M,2400
MWAX-SP19-X,25
POLY-M-MP27-K,140
POLY-M-MP27-K,80
EMU-PS-,175
POLY-M-MP27-K,100
KATI-JGRC14-X,100
SQUA-PRT-X,50
ACTI-VCR-X,12
TIT-CR50HD-X,250
POWD-TDMS-,300
POWD-TDMS-,200
TIT-CR50HD-X,125
TIT-CR50HD-X,125
TRI--DOW-K,232
WAX-B-BR,25
TRI--DOW-K,232
GLYC--ECOS-K,7000
PARF-SGM62-X,100
PARF-JRS-X,25
PARF-LDGRGA-X,100
PARF-WGTIMP-X,100
PARF-C072-GIV,75
PARF-SPRFLR-X,25
PARF-PSVLF-X,25
TEXA---K,1280
TEXA---K,2560
TEXA---K,160
SUNS-TNAB-X,200
EMUL-EMPL-X,50
SUNS-UVAPG-X,175
SUNS-TNBS-X,60
UVIN-MC80-BASF,800
UVIN-MC80-BASF,1600
ACTI-CSR10S-X,10
SUNS-TNSLTQ-X,50
EMUL-PLUP-X,1600
EMU-CTB-X,350
SUNS-UVNT-X,60
TEGO-L7-1--K,2640
TEGO-L7-1--K,2640
SAMP-KPRX-X,5
"CARB--94022,68-K",44
WAX-KHWXBA-X,20
MERQ-MQ550PP-X,200
WARN-TOA403-KF,500
ALUM-MN10D-X,5
WARN-TE-A40BIOSC-K,25
WARN-TOA403-KF,25
WARN-SLI-X,25
WARN-A407-X,200
WAX-PFRMSW-X,25
MOIS-PTVT-X,40
EMUL-AMPK-,25
SERI-790-,325
AQUA---K,3483.2
SILI-MCMA-X,380
MYRI-MYTM-X,4200
EMU-ACT-X,16
ZINC-10PL-X,20
SUNS-SCMTA-X,60
TITA-CROTS-X,300
TITA-CROTS-X,200
WARN-CLRG-X,20
VITC-VCE-X,39
EMAL---K,180
EM-E3201M-X,280
EM-E3201M-X,720
KOH--PH-K,1000
KOH--PH-K,2000
TALC-OSBRTPD-X,3600
SUN-MP-X,60
SUN-MP-X,40
SEPI-305-SF-K,270
EMUL-NS-X,30
MATS-MCM100-X,100
MATS-MCM100-X,50
MATS-MCM100-X,150
LAN-99-X,180
PENG-ISCGPHG-X,200
EMO-RFNJO-X,50
GARA-RFS-X,175
GARA-RFS-X,50
KOH--PH-K,1200
PARF-ODM3-X,180
SERI-C-SI013S200-K,300
SERI-C-SI013S200-K,210
COSM-43V--K,32
COSM-43V--K,16
SILI-1202-,764
COSM-222--K,248
SILI-D2-TSFST-K,200
FLMR-ELS7P-X,25
GLYC--ECOS-K,7000
CRO1-SS-,10
GLYC-MS-CGGMS N/EB25,600
MATR-3000-X,50
IPM-CRDSG-X,175
EMU-GLY767LS-X,200
CRO1-SS-,10
EMUL-BS721-X,40
ZINC-M-KJZ10-K,130
ZINC-M-KJZ10-K,20
ZINC-M-KJZ10-K,60
"BUTY--DAI1,3",800
SOLV-DEASB-X,5600
PENG-CLRP-X,50
THIC-ARVLT-X,25
CLAY-BERA661-X,15
PENG-CLRP-X,25
HUM-PG400C-X,220
PENG-NPGEHP-X,275
EMUL-GMSNSE-X,600
RHM-DREIA-X,40
RHM-DREAQA-X,800
ALUM--ACH-K,272
ACTI-AZCLR-X,20
ACTI-AZCLR-X,30
AMI-GCK12H-X,880
AMI-GCK12H-X,220
AMI-GCK12H-X,2420
TEXA---K,1440
TEXA---K,960
TEXA---K,1600
TEGO-L7-1--K,2640
TEGO-L7-1--K,2640
PLAS-P-D400-K,40
SCRU-SRBB50-X,70
SQUA-AMYR-X,51
SQUA-AMYR-X,34
EXTR-SILVBG30-X,10
SCRU-SRB51-X,15
ACTI-GRR-X,1
ARQU---K,170
STA--C18-K,120
STA--C18-K,360
SURF-EC702C-X,3200
GLYC--ECOS-K,6000
EDT-B--K,225
SILI-CES1104-X,16
SILI-CES1104-X,16
VITA-DL E-MS,100
BIO-HYAL-BIL,2800
EMUL-KF6017-X,34
VITA-B3PC-X,1500
PEN-PRSVPE-X,800
EMUL-KF68-X,32
EMUL-KF68-X,32
PEN-EUXK900-X,10
EXTR-CNDWLHB-X,35
EXTR-GS-,5
MEA-8350-X,75
OIL-ORJVA-X,95
VASE--BP-DRUM,175
SURF-IXCSB-X,191
ALAN--AK-K,200
EKS-DCV-X,1
HAIM-DIS-X,75
POWD-TDMS-,450
