Code,Product,Quantity on Hand,Reserved,Available
80001,OMG OH MY GLAM Matte Kiss Lip Cream 01 Dreamy 3.5 g,1200,720,480
80002,OMG OH MY GLAM Matte Kiss Lip Cream 02 Juicy 3.5 g,6780,576,6204
80003,OMG OH MY GLAM Matte Kiss Lip Cream 03 Flame 3.5 g,3972,0,3972
80004,OMG OH MY GLAM Matte Kiss Lip Cream 04 Sunset 3.5 g,1884,720,1164
80005,OMG OH MY GLAM Matte Kiss Lip Cream 05 Punch 3.5 g,6048,864,5184
80006,OMG OH MY GLAM Matte Kiss Lip Cream 06 Sparkle 3.5 g,3996,1008,2988
80007,OMG OH MY GLAM Matte Kiss Lip Cream 07 Delight 3.5 g,7248,288,6960
80008,OMG OH MY GLAM Matte Kiss Lip Cream 08 Skyfall 3.5 g,4790,720,4070
80009,OMG OH MY GLAM Matte Kiss Lip Cream 09 Charm 3.5 g,8124,3024,5100
80010,OMG OH MY GLAM Matte Kiss Lip Cream 10 Shell 3.5 g,132,0,132
80012,OMG OH MY GLAM Matte Kiss Lip Cream 12 Scarlet 3.5 g,9444,0,9444
80021,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 01 Juicy Strawberry,3288,96,3192
80022,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 02 Juicy Grapefruit,7860,0,7860
80023,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 03 Juicy Peach,9936,0,9936
80024,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 04 Juicy Plum,11628,0,11628
80027,OMG OH MY GLOW Peach Glowing Face Wash 9 g,26760,360,26400
80028,OMG OH MY GLOW Peach Glowing Toner 100 ml,114406,1044,113362
80029,OMG OH MY GLOW Peach Glowing Face Wash 50 g,218008,2072,215936
80030,OMG Oh My Glow Peach Glowing Cream 7.5 g,6696,1200,5496
80031,OMG Oh My Glow Peach Glowing Cream 25 g,234745,1680,233065
80035,OMG Oh My Glam Coverlast Two Way Cake 21W Light 12 g,40860,0,40860
80036,OMG Oh My Glam Coverlast Two Way Cake 32N Natural 12 g,25956,0,25956
80037,OMG Oh My Glam Coverlast Two Way Cake 41W Sand 12 g,2592,0,2592
80044,OMG Oh My Glam Matte Kiss Lip Cream 13 Latte 3.5 g,12492,11376,1116
80045,OMG Oh My Glam Matte Kiss Lip Cream 14 Cappuccino 3.5 g,21396,8496,12900
80046,OMG Oh My Glam Matte Kiss Lip Cream 15 Espresso 3.5 g,22368,1152,21216
80047,OMG Oh My Glam Coverlast Liquid Foundation 13 C Ivory,836,44,792
80049,OMG Oh My Glam Coverlast Liquid Foundation 31 W Beige,6336,572,5764
80050,OMG Oh My Glam Coverlast Liquid Foundation 32 N Natural,24156,440,23716
80051,OMG Oh My Glam Coverlast Liquid Foundation 41 W Sand,2068,132,1936
80052,OMG Oh My Glam Coverlast Liquid Foundation 52 N Caramel,44,44,0
80053,OMG Oh My Glam LASHTENTION Waterproof Mascara 6.5 g,20160,0,20160
80056,OMG Oh My Glow Mugwort Acne Serum 20 ml,7272,1152,6120
80058,OMG Oh My Glow Peach Glowing Serum 20 ml,79248,264,78984
80059,OMG Oh My Glow Peach Glowing Serum 7.5 g,116526,15,116511
80105,OMG Oh My Glam Matte Kiss Lip Cream Cycle of Love Edition Si Paling In Love 3.5 g,15840,0,15840
